No,フォルダ名,アクション,日時,曜日,時間,日,月
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,決裁,2023/09/08 08:59,Fri,8,8,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,確認,2023/09/11 11:07,Mon,11,11,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,確認,2023/09/06 16:44,Wed,16,6,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,確認,2023/09/07 15:27,Thu,15,7,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,確認,2023/09/07 17:27,Thu,17,7,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,確認,2023/09/07 13:21,Thu,13,7,9
5481,[No.5481]_稟議書システム関連_経営会議 稟議書システム関連_経営会議 SSLサーバー証明書の更,確認,2023/09/11 17:52,Mon,17,11,9
5490,[No.5490]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆坂本,申請,2023/09/08 13:34,Fri,13,8,9
5490,[No.5490]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆坂本,承認,2023/09/08 14:13,Fri,14,8,9
5490,[No.5490]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆坂本,決裁,2023/09/08 17:57,Fri,17,8,9
5490,[No.5490]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆坂本,確認,2023/09/11 09:06,Mon,9,11,9
5490,[No.5490]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆坂本,確認,2023/09/11 17:52,Mon,17,11,9
5491,[No.5491]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆伊藤健人,申請,2023/09/08 16:55,Fri,16,8,9
5491,[No.5491]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆伊藤健人,承認,2023/09/08 18:12,Fri,18,8,9
5491,[No.5491]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆伊藤健人,決裁,2023/09/09 17:45,Sat,17,9,9
5491,[No.5491]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆伊藤健人,確認,2023/09/11 09:06,Mon,9,11,9
5491,[No.5491]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請システム部＆伊藤健人,確認,2023/09/11 17:52,Mon,17,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,申請,2023/09/09 12:12,Sat,12,9,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,承認,2023/09/11 08:16,Mon,8,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,決裁,2023/09/11 08:18,Mon,8,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/20 09:46,Wed,9,20,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/20 09:47,Wed,9,20,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/11 08:25,Mon,8,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/11 09:00,Mon,9,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/11 08:49,Mon,8,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/11 11:29,Mon,11,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/11 08:50,Mon,8,11,9
5494,[No.5494]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品部共用,確認,2023/09/11 19:35,Mon,19,11,9
5499,[No.5499]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　大澤,申請,2023/09/11 18:29,Mon,18,11,9
5499,[No.5499]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　大澤,承認,2023/09/11 18:30,Mon,18,11,9
5499,[No.5499]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　大澤,決裁,2023/09/12 08:10,Tue,8,12,9
5499,[No.5499]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　大澤,確認,2023/09/12 09:08,Tue,9,12,9
5499,[No.5499]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　大澤,確認,2023/09/12 10:19,Tue,10,12,9
5507,[No.5507]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　福村,申請,2023/09/13 11:54,Wed,11,13,9
5507,[No.5507]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　福村,承認,2023/09/13 11:54,Wed,11,13,9
5507,[No.5507]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　福村,決裁,2023/09/13 14:34,Wed,14,13,9
5507,[No.5507]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　福村,確認,2023/09/14 09:33,Thu,9,14,9
5507,[No.5507]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請商品部　福村,確認,2023/09/14 17:25,Thu,17,14,9
5543,[No.5543]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請事業推進部_宮沢武治,申請,2023/09/29 18:43,Fri,18,29,9
5543,[No.5543]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請事業推進部_宮沢武治,決裁,2023/10/02 16:25,Mon,16,2,10
5543,[No.5543]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請事業推進部_宮沢武治,確認,2023/10/03 09:08,Tue,9,3,10
5543,[No.5543]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請事業推進部_宮沢武治,確認,2023/10/03 09:08,Tue,9,3,10
5546,[No.5546]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請営業部サービス課　久楽優奈,申請,2023/10/03 10:00,Tue,10,3,10
5546,[No.5546]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請営業部サービス課　久楽優奈,承認,2023/10/03 18:26,Tue,18,3,10
5546,[No.5546]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請営業部サービス課　久楽優奈,決裁,2023/10/04 17:25,Wed,17,4,10
5546,[No.5546]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請営業部サービス課　久楽優奈,確認,2023/10/05 16:51,Thu,16,5,10
5546,[No.5546]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請営業部サービス課　久楽優奈,確認,2023/10/05 17:30,Thu,17,5,10
5547,[No.5547]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業部サービス課　ヤマダ用端末,申請,2023/10/03 10:11,Tue,10,3,10
5547,[No.5547]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業部サービス課　ヤマダ用端末,承認,2023/10/03 18:26,Tue,18,3,10
5547,[No.5547]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業部サービス課　ヤマダ用端末,決裁,2023/10/04 17:25,Wed,17,4,10
5547,[No.5547]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業部サービス課　ヤマダ用端末,確認,2023/10/05 16:51,Thu,16,5,10
5547,[No.5547]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業部サービス課　ヤマダ用端末,確認,2023/10/05 17:30,Thu,17,5,10
5548,[No.5548]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請在庫管理課　大澤,申請,2023/10/03 11:03,Tue,11,3,10
5548,[No.5548]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請在庫管理課　大澤,承認,2023/10/03 13:03,Tue,13,3,10
5548,[No.5548]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請在庫管理課　大澤,決裁,2023/10/04 17:25,Wed,17,4,10
5548,[No.5548]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請在庫管理課　大澤,確認,2023/10/05 16:51,Thu,16,5,10
5548,[No.5548]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請在庫管理課　大澤,確認,2023/10/05 17:28,Thu,17,5,10
5552,[No.5552]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業部＆寒河江勤,申請,2023/10/03 18:47,Tue,18,3,10
5552,[No.5552]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業部＆寒河江勤,承認,2023/10/03 19:55,Tue,19,3,10
5552,[No.5552]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業部＆寒河江勤,決裁,2023/10/04 17:23,Wed,17,4,10
5552,[No.5552]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業部＆寒河江勤,確認,2023/10/05 16:51,Thu,16,5,10
5552,[No.5552]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業部＆寒河江勤,確認,2023/10/05 17:28,Thu,17,5,10
5569,[No.5569]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請在庫管理課　大澤,申請,2023/10/11 16:12,Wed,16,11,10
5569,[No.5569]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請在庫管理課　大澤,承認,2023/10/11 17:04,Wed,17,11,10
5569,[No.5569]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請在庫管理課　大澤,決裁,2023/10/12 09:03,Thu,9,12,10
5569,[No.5569]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請在庫管理課　大澤,確認,2023/10/12 09:25,Thu,9,12,10
5569,[No.5569]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請在庫管理課　大澤,確認,2023/10/13 16:13,Fri,16,13,10
5573,[No.5573]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業課・中村,申請,2023/10/12 14:08,Thu,14,12,10
5573,[No.5573]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業課・中村,承認,2023/10/12 14:10,Thu,14,12,10
5573,[No.5573]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業課・中村,決裁,2023/10/12 17:12,Thu,17,12,10
5573,[No.5573]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業課・中村,確認,2023/10/12 17:27,Thu,17,12,10
5573,[No.5573]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請営業課・中村,確認,2023/10/13 16:13,Fri,16,13,10
5593,[No.5593]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請事業推進部_宮沢武治,申請,2023/10/19 16:59,Thu,16,19,10
5593,[No.5593]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請事業推進部_宮沢武治,決裁,2023/10/20 08:23,Fri,8,20,10
5593,[No.5593]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請事業推進部_宮沢武治,確認,2023/10/20 17:45,Fri,17,20,10
5593,[No.5593]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請事業推進部_宮沢武治,確認,2023/10/23 09:25,Mon,9,23,10
5593,[No.5593]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請事業推進部_宮沢武治,確認,2023/10/24 12:53,Tue,12,24,10
5621,[No.5621]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請営業本部_打越洋平,申請,2023/10/26 17:11,Thu,17,26,10
5621,[No.5621]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請営業本部_打越洋平,決裁,2023/10/26 18:20,Thu,18,26,10
5621,[No.5621]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請営業本部_打越洋平,確認,2023/11/06 09:31,Mon,9,6,11
5621,[No.5621]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請申請営業本部_打越洋平,確認,2023/11/07 09:22,Tue,9,7,11
5624,[No.5624]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品　渡辺,申請,2023/10/27 14:16,Fri,14,27,10
5624,[No.5624]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品　渡辺,承認,2023/10/27 14:17,Fri,14,27,10
5624,[No.5624]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品　渡辺,決裁,2023/10/27 14:19,Fri,14,27,10
5624,[No.5624]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品　渡辺,確認,2023/11/06 09:27,Mon,9,6,11
5624,[No.5624]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請商品　渡辺,確認,2023/11/07 09:22,Tue,9,7,11
5650,[No.5650]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業本部_打越洋平,申請,2023/11/08 09:39,Wed,9,8,11
5650,[No.5650]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業本部_打越洋平,決裁,2023/11/08 14:32,Wed,14,8,11
5650,[No.5650]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業本部_打越洋平,確認,2023/11/09 11:47,Thu,11,9,11
5650,[No.5650]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業本部_打越洋平,確認,2023/11/09 11:48,Thu,11,9,11
5650,[No.5650]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請営業本部_打越洋平,確認,2023/11/17 18:29,Fri,18,17,11
5651,[No.5651]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請事業推進部_岡村浩司,申請,2023/11/08 09:39,Wed,9,8,11
5651,[No.5651]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請事業推進部_岡村浩司,決裁,2023/11/08 14:32,Wed,14,8,11
5651,[No.5651]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請事業推進部_岡村浩司,確認,2023/11/09 11:47,Thu,11,9,11
5651,[No.5651]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請事業推進部_岡村浩司,確認,2023/11/09 11:47,Thu,11,9,11
5651,[No.5651]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請事業推進部_岡村浩司,確認,2023/11/09 13:23,Thu,13,9,11
5666,[No.5666]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請サービス課　端末メニュー申請,申請,2023/11/13 15:17,Mon,15,13,11
5666,[No.5666]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請サービス課　端末メニュー申請,承認,2023/11/14 16:19,Tue,16,14,11
5666,[No.5666]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請サービス課　端末メニュー申請,決裁,2023/11/16 09:13,Thu,9,16,11
5666,[No.5666]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請サービス課　端末メニュー申請,確認,2023/11/16 09:44,Thu,9,16,11
5666,[No.5666]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_SCAWメニュー申請サービス課　端末メニュー申請,確認,2023/11/16 10:01,Thu,10,16,11
5669,[No.5669]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_ノートＰＣ,申請,2023/11/14 09:02,Tue,9,14,11
5669,[No.5669]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_ノートＰＣ,承認,2023/11/14 10:54,Tue,10,14,11
5669,[No.5669]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_ノートＰＣ,決裁,2023/11/14 11:30,Tue,11,14,11
5669,[No.5669]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_ノートＰＣ,確認,2023/11/15 17:54,Wed,17,15,11
5669,[No.5669]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 端末申請_ノートＰＣ,確認,2023/11/16 10:00,Thu,10,16,11
5673,[No.5673]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課共有,申請,2023/11/16 13:32,Thu,13,16,11
5673,[No.5673]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課共有,決裁,2023/11/16 15:42,Thu,15,16,11
5673,[No.5673]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課共有,確認,2023/11/17 11:28,Fri,11,17,11
5673,[No.5673]_申請⑦_業務端末申請_SCAWメニュー申請_USB申請 SCAWメニュー申請顧客課共有,確認,2023/11/17 11:30,Fri,11,17,11
