発生日時,終了日時,実作業時間,主な作業内容
2026/04/10 09:40,2026/04/10 09:41,0:05,Webサイト（Gemini）の閲覧・調査 / Webサイト（Microsoft 365 管理センター）の閲覧・調査 / Webサイト（My Account）の閲覧・調査 / Webサイト（admin.cloud.microsoft/?auth_upn=t_ito%40forestwayoffice.onmicrosoft.com&source=applauncher&ref=%2Fhomep...
2026/04/10 09:43,2026/04/10 09:44,0:05,メール（Thunderbird で Gmail を利用する | Gmailの使い方）の閲覧・作成
2026/04/10 09:44,2026/04/10 09:44,0:05,Webサイト（インフォメーション）の閲覧・調査 / Webサイト（ギガストレージ - Google 検索）の閲覧・調査 / Webサイト（ユーザーの詳細パネル - Microsoft 365 管理センター）の閲覧・調査 / Webサイト（無料大容量 ファイル転送サービス GigaFile(ギガファイル)便）の閲覧・調査
2026/04/10 09:44,2026/04/10 09:44,0:05,サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderMessageView&mDBID=9&mEID=90110&mDID=300069&cp=ml&sp=&tp=）での情報確認・処理 / サイボウズ（トップページ - サイボウズ Office）での情報確認・処理 / サイボウズ（メッセージの詳細 - サイボウズ Office）での情報確認・処理...
2026/04/10 09:44,2026/04/10 09:47,0:05,Webサイト（192.169.5.5 - リモート デスクトップ接続）の閲覧・調査 / Webサイト（Gemini）の閲覧・調査 / Webサイト（ある日急にBitLockerでパスワードを求められる。 - Google 検索）の閲覧・調査 / Webサイト（ギガストレージ - Google 検索）の閲覧・調査 / Webサイト（コマンド プロンプト のジャンプ リスト）の閲覧・調査 / W...
2026/04/10 09:47,2026/04/10 09:47,0:05,"Webサイト（Gemini）の閲覧・調査 / Webサイト（管理者: コマンド プロンプト - findstr  /C:""gigafile.nu"" C:\WINDOWS\system32\drivers\etc\hosts）の閲覧・調査 / Webサイト（管理者: コマンド プロンプト - ipconfig  /flushdns）の閲覧・調査 / Webサイト（管理者: コマンド プロンプト..."
2026/04/10 09:47,2026/04/10 09:47,0:05,サイボウズ（メッセージの詳細 - サイボウズ Office）での情報確認・処理
2026/04/10 09:47,2026/04/10 09:52,0:05,Webサイト（365管理画面 - 検索 および他 4 ページ）の閲覧・調査 / Webサイト（365管理画面 - 検索 および他 5 ページ）の閲覧・調査 / Webサイト（365管理画面 - 検索）の閲覧・調査 / Webサイト（M365 Copilot および他 5 ページ）の閲覧・調査 / Webサイト（M365 Copilot）の閲覧・調査 / Webサイト（Microsoft 36...
2026/04/10 09:52,2026/04/10 09:52,0:05,サイボウズ（メッセージの詳細 - サイボウズ Office および他 7 ページ）での情報確認・処理
2026/04/10 09:53,2026/04/10 10:16,0:23,Webサイト（bing.com/ck/a?!&&p=e53f8d6e59905c35f76cf03b3edbe45e1f169c9598a96452b2986f2307423151JmltdHM9MTc3NTY5MjgwMA&ptn=3&ver=2&hsh=4&fclid=07717525-73f7-6c18-2851-6332721f6d7e&psq=ギガファイル便&u=a1aHR0cHM...
2026/04/10 10:17,2026/04/10 10:17,0:05,メール（弊社 ネット回線の契約について）の閲覧・作成
2026/04/10 10:17,2026/04/10 10:25,0:08,Webサイト（BitLocker回復キー紛失時の対応 - Google Gemini）の閲覧・調査 / Webサイト（Google Gemini）の閲覧・調査 / Webサイト（bing.com/ck/a?!&&p=e53f8d6e59905c35f76cf03b3edbe45e1f169c9598a96452b2986f2307423151JmltdHM9MTc3NTY5MjgwMA&pt...
2026/04/10 11:45,2026/04/10 11:53,0:08,Webサイト（BitLocker回復キー紛失時の対応 - Google Gemini）の閲覧・調査 / Webサイト（gigafile.nu および他 9 ページ）の閲覧・調査
2026/04/10 11:53,2026/04/10 11:53,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 11:53,2026/04/10 11:53,0:05,Webサイト（BitLocker回復キー紛失時の対応 - Google Gemini）の閲覧・調査
2026/04/10 12:36,2026/04/10 13:15,0:38,Webサイト（*hosts - メモ帳）の閲覧・調査 / Webサイト（20240222(木)_1633_： ＿伊藤健人＿_Fwd＿ Re＿ 弊社 ネット回線の契約について.txt - サクラエディタ32bit 2.4.2.6048）の閲覧・調査 / Webサイト（365管理画面 - 検索 および他 8 ページ）の閲覧・調査 / Webサイト（BitLocker回復キー紛失時の対応 - Go...
2026/04/10 13:15,2026/04/10 13:15,0:05,サイボウズ（forestway.cybozu.com/logout および他 2 ページ）での情報確認・処理 / サイボウズ（forestway.cybozu.com/logout）での情報確認・処理 / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=CloudLogin および他 2 ページ）での情報確認・処理 / サイボウズ（トップページ - サイボウ...
2026/04/10 13:15,2026/04/10 13:15,0:05,Webサイト（インフォメーション および他 2 ページ）の閲覧・調査 / Webサイト（インフォメーション）の閲覧・調査
2026/04/10 13:15,2026/04/10 13:16,0:05,サイボウズ（forestway.cybozu.com/login および他 2 ページ）での情報確認・処理 / サイボウズ（forestway.cybozu.com/logout および他 2 ページ）での情報確認・処理 / サイボウズ（forestway.cybozu.com/logout）での情報確認・処理 / サイボウズ（forestway.cybozu.com/o/ag.cgi?pa...
2026/04/10 13:16,2026/04/10 13:16,0:05,Webサイト（インフォメーション および他 2 ページ）の閲覧・調査 / Webサイト（インフォメーション）の閲覧・調査
2026/04/10 13:16,2026/04/10 13:16,0:05,サイボウズ（トップページ - サイボウズ Office および他 2 ページ）での情報確認・処理 / サイボウズ（トップページ - サイボウズ Office）での情報確認・処理
2026/04/10 13:17,2026/04/10 13:17,0:05,Webサイト（契約状況 および他 2 ページ）の閲覧・調査
2026/04/10 13:17,2026/04/10 13:17,0:05,Webサイト（インフォメーション および他 2 ページ）の閲覧・調査 / Webサイト（インフォメーション）の閲覧・調査 / Webサイト（組織とユーザーの設定 および他 2 ページ）の閲覧・調査 / Webサイト（組織とユーザーの設定）の閲覧・調査 / 契約状況
2026/04/10 13:17,2026/04/10 13:17,0:05,サイボウズ（forestway.cybozu.com/logout および他 2 ページ）での情報確認・処理 / サイボウズ（forestway.cybozu.com/logout）での情報確認・処理
2026/04/10 13:17,2026/04/10 13:17,0:05,Webサイト（インフォメーション および他 2 ページ）の閲覧・調査 / Webサイト（インフォメーション）の閲覧・調査 / Webサイト（パスワードを保存しますか?）の閲覧・調査
2026/04/10 13:17,2026/04/10 13:18,0:05,サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MailIndex&fid=22770 および他 2 ページ）での情報確認・処理 / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MailIndex&fid=3033 および他 2 ページ）での情報確認・処理 / サイボウズ（トップページ - サイボウズ Office およ...
2026/04/10 13:18,2026/04/10 13:18,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:18,2026/04/10 13:18,0:05,サイボウズ（サイボウズOffice Eメール バックアップツール）での情報確認・処理
2026/04/10 13:18,2026/04/10 13:18,0:05,Webサイト（フォルダーの選択）の閲覧・調査
2026/04/10 13:19,2026/04/10 13:20,0:05,サイボウズ（サイボウズOffice Eメール バックアップツール）での情報確認・処理 / サイボウズ（メール - サイボウズ Office および他 2 ページ）での情報確認・処理
2026/04/10 13:20,2026/04/10 13:20,0:05,Webサイト（フォルダーの選択）の閲覧・調査
2026/04/10 13:20,2026/04/10 13:20,0:05,サイボウズ（サイボウズOffice Eメール バックアップツール）での情報確認・処理
2026/04/10 13:20,2026/04/10 13:20,0:05,Webサイト（インフォメーション - プロファイル 1 - Microsoft? Edge）の閲覧・調査
2026/04/10 13:20,2026/04/10 13:21,0:05,サイボウズ（サイボウズOffice Eメール バックアップツール）での情報確認・処理 / サイボウズ（トップページ - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理 / サイボウズ（メール - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理 / サイボウズ（メール - サイボウズ...
2026/04/10 13:21,2026/04/10 13:23,0:05,Webサイト（192.169.5.5 - リモート デスクトップ接続）の閲覧・調査 / Webサイト（365管理画面 - 検索 および他 1 ページ）の閲覧・調査 / Webサイト（MSN および他 3 ページ）の閲覧・調査 / Webサイト（Windows PowerShell のジャンプ リスト）の閲覧・調査 / Webサイト（「240馬力」の2リッター「直4ターボ」搭載! 新型「“4W...
2026/04/10 13:23,2026/04/10 13:23,0:05,サイボウズ（サイボウズOffice Eメール バックアップツール）での情報確認・処理 / サイボウズ（メールの詳細 - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理 / サイボウズ（メール本文 - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理 / サイボウズ（メール送受信履歴一...
2026/04/10 13:24,2026/04/10 13:25,0:05,"Webサイト（365管理画面 - 検索 および他 1 ページ）の閲覧・調査 / Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査 / Webサイト（amazon.co.jp および他 1 ページ）の閲覧・調査"
2026/04/10 13:25,2026/04/10 13:25,0:05,サイボウズ（サイボウズOffice Eメール バックアップツール）での情報確認・処理
2026/04/10 13:25,2026/04/10 13:25,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査 / Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン）の閲覧・調査"
2026/04/10 13:25,2026/04/10 13:25,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:25,2026/04/10 13:25,0:05,サイボウズ（サイボウズ抽出ログ → MBOX変換ツール）での情報確認・処理
2026/04/10 13:25,2026/04/10 13:25,0:05,Webサイト（フォルダーの選択）の閲覧・調査
2026/04/10 13:25,2026/04/10 13:25,0:05,サイボウズ（サイボウズ抽出ログ → MBOX変換ツール）での情報確認・処理
2026/04/10 13:25,2026/04/10 13:25,0:05,メール（Thunderbirdの存続にご協力ください！ ? Thunderbird）の閲覧・作成
2026/04/10 13:25,2026/04/10 13:25,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:25,2026/04/10 13:25,0:05,メール（受信トレイ）の閲覧・作成
2026/04/10 13:26,2026/04/10 13:26,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:26,2026/04/10 13:26,0:05,Webサイト（フォルダーの削除）の閲覧・調査
2026/04/10 13:26,2026/04/10 13:26,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:26,2026/04/10 13:26,0:05,メール（受信トレイ）の閲覧・作成
2026/04/10 13:26,2026/04/10 13:26,0:05,Webサイト（インポートする mbox ファイルの選択）の閲覧・調査
2026/04/10 13:26,2026/04/10 13:26,0:05,メール（受信トレイ）の閲覧・作成
2026/04/10 13:26,2026/04/10 13:26,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:27,2026/04/10 13:27,0:05,Webサイト（BitLocker回復キー紛失時の対応 - Google Gemini）の閲覧・調査 / Webサイト（【物流・配送】GWS関連 - Chat）の閲覧・調査 / Webサイト（テスト - Chat）の閲覧・調査
2026/04/10 13:27,2026/04/10 13:27,0:05,メール（弊社 ネット回線の契約について）の閲覧・作成
2026/04/10 13:27,2026/04/10 13:27,0:05,Webサイト（【物流・配送】GWS関連 - Chat）の閲覧・調査 / Webサイト（テスト - Chat）の閲覧・調査
2026/04/10 13:27,2026/04/10 13:27,0:05,"メール（""TEST"" (42)）の閲覧・作成"
2026/04/10 13:27,2026/04/10 13:27,0:05,Webサイト（BitLocker回復キー紛失時の対応 - Google Gemini）の閲覧・調査
2026/04/10 13:27,2026/04/10 13:27,0:05,"メール（""TEST"" (75)）の閲覧・作成 / メール（フォーレスト株式会社 メール）の閲覧・作成 / メール（受信トレイ (10,871)）の閲覧・作成"
2026/04/10 13:27,2026/04/10 13:27,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:27,2026/04/10 13:27,0:05,Webサイト（フォルダーの削除）の閲覧・調査
2026/04/10 13:27,2026/04/10 13:27,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:27,2026/04/10 13:28,0:05,"メール（""TEST"" (81)）の閲覧・作成 / メール（""TEST""）の閲覧・作成 / メール（Re: 東日本物流センター アクセスポイントのファームウェアアップデートについて）の閲覧・作成 / メール（TEST）の閲覧・作成 / メール（受信トレイ）の閲覧・作成"
2026/04/10 13:28,2026/04/10 13:28,0:05,Webサイト（インポートする mbox ファイルの選択）の閲覧・調査
2026/04/10 13:28,2026/04/10 13:28,0:05,メール（受信トレイ）の閲覧・作成
2026/04/10 13:28,2026/04/10 13:28,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:28,2026/04/10 13:28,0:05,"メール（""TEST"" (2)）の閲覧・作成 / メール（""TEST""）の閲覧・作成"
2026/04/10 13:28,2026/04/10 13:30,0:05,"Webサイト（Amazon - Google 検索）の閲覧・調査 / Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン）の閲覧・調査 / Webサイト（Amazon.co.jp : usb-typec hdmiUSB-TypeC）の閲覧・調査 / Webサイト（Forestway - Google 検索）の閲覧・調査 / Webサイト（amazon.co...."
2026/04/10 13:36,2026/04/10 13:36,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:36,2026/04/10 13:36,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:36,2026/04/10 13:36,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:36,2026/04/10 13:36,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査"
2026/04/10 13:36,2026/04/10 13:36,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:36,2026/04/10 13:36,0:05,Webサイト（「USB-TypeC HDMI」 通販【フォレストウェイ】）の閲覧・調査
2026/04/10 13:36,2026/04/10 13:37,0:05,"メール（""TEST"" (59)）の閲覧・作成 / メール（""TEST"" (60)）の閲覧・作成 / メール（更新登録申請のご案内(多区分)_弊所管理番号：M2008-055）の閲覧・作成"
2026/04/10 13:38,2026/04/10 13:38,0:05,サイボウズ（サイボウズ抽出ログ → MBOX変換ツール）での情報確認・処理
2026/04/10 13:38,2026/04/10 13:38,0:05,"メール（""TEST"" (59)）の閲覧・作成"
2026/04/10 13:38,2026/04/10 13:38,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査"
2026/04/10 13:38,2026/04/10 13:38,0:05,"メール（""TEST"" (59)）の閲覧・作成"
2026/04/10 13:38,2026/04/10 13:38,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査"
2026/04/10 13:38,2026/04/10 13:38,0:05,サイボウズ（cybozu_sent_migration - ローカルフォルダー - Mozilla Thunderbird）での情報確認・処理
2026/04/10 13:38,2026/04/10 13:38,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査"
2026/04/10 13:39,2026/04/10 13:39,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:39,2026/04/10 13:39,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:39,2026/04/10 13:39,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:39,2026/04/10 13:39,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:39,2026/04/10 13:39,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査"
2026/04/10 13:39,2026/04/10 13:39,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:40,2026/04/10 13:40,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査"
2026/04/10 13:40,2026/04/10 13:40,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:40,2026/04/10 13:40,0:05,"Webサイト（Amazon | 本, ファッション, 家電から食品まで | アマゾン および他 1 ページ）の閲覧・調査"
2026/04/10 13:40,2026/04/10 13:40,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:40,2026/04/10 13:40,0:05,Webサイト（20240222(木)_1633_： ＿伊藤健人＿_Fwd＿ Re＿ 弊社 ネット回線の契約について.txt - サクラエディタ32bit 2.4.2.6048）の閲覧・調査 / Webサイト（デスクトップ\...\20240222(木)_1633_： ＿伊藤健人＿_Fwd＿ Re＿ 弊社 ネット回線の契約について.txt - サクラエディタ32bit 2.4.2.6048）の...
2026/04/10 13:40,2026/04/10 13:40,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:40,2026/04/10 13:40,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:40,2026/04/10 13:40,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査 / Webサイト（起動しています - Word）の閲覧・調査
2026/04/10 13:41,2026/04/10 13:41,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:41,2026/04/10 13:41,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:41,2026/04/10 13:41,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:41,2026/04/10 13:41,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:41,2026/04/10 13:41,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:41,2026/04/10 13:41,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:41,2026/04/10 13:41,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:41,2026/04/10 13:41,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:41,2026/04/10 13:41,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:41,2026/04/10 13:41,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:41,2026/04/10 13:41,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:42,2026/04/10 13:42,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:42,2026/04/10 13:42,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:42,2026/04/10 13:42,0:05,"メール（""TEST"" (59)）の閲覧・作成"
2026/04/10 13:42,2026/04/10 13:43,0:05,Webサイト（BitLocker回復キー紛失時の対応 - Google Gemini）の閲覧・調査
2026/04/10 13:43,2026/04/10 13:43,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:43,2026/04/10 13:43,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:43,2026/04/10 13:43,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:43,2026/04/10 13:43,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:44,2026/04/10 13:44,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:44,2026/04/10 13:44,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:44,2026/04/10 13:44,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:44,2026/04/10 13:45,0:05,Webサイト（54% 完了）の閲覧・調査 / Webサイト（67% 完了）の閲覧・調査 / Webサイト（99% 完了）の閲覧・調査 / Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:45,2026/04/10 13:45,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:45,2026/04/10 13:45,0:05,Webサイト（フォルダーの選択）の閲覧・調査
2026/04/10 13:45,2026/04/10 13:45,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:45,2026/04/10 13:45,0:05,Webサイト（フォルダーの選択）の閲覧・調査 / Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:45,2026/04/10 13:45,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:45,2026/04/10 13:46,0:05,Webサイト（20240222(木)_1633_： ＿伊藤健人＿_Fwd＿ Re＿ 弊社 ネット回線の契約について.txt - サクラエディタ32bit 2.4.2.6048）の閲覧・調査 / Webサイト（248 項目がリサイクルされました）の閲覧・調査 / Webサイト（83 項目がリサイクルされました）の閲覧・調査 / Webサイト（デスクトップ\...\20240222(木)_163...
2026/04/10 13:46,2026/04/10 13:46,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:46,2026/04/10 13:46,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:46,2026/04/10 13:46,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:46,2026/04/10 13:47,0:05,"Webサイト（data:, - プロファイル 1 - Microsoft? Edge）の閲覧・調査 / Webサイト（インフォメーション - プロファイル 1 - Microsoft? Edge）の閲覧・調査 / Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査"
2026/04/10 13:47,2026/04/10 13:47,0:05,サイボウズ（トップページ - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理
2026/04/10 13:47,2026/04/10 13:47,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:47,2026/04/10 13:47,0:05,サイボウズ（トップページ - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理 / サイボウズ（メール - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理
2026/04/10 13:48,2026/04/10 13:48,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:48,2026/04/10 13:48,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理 / サイボウズ（メール - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理
2026/04/10 13:48,2026/04/10 13:48,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:48,2026/04/10 13:49,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理 / サイボウズ（メール - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理
2026/04/10 13:49,2026/04/10 13:49,0:05,Webサイト（新規 Microsoft Word 文書.docx - Word）の閲覧・調査
2026/04/10 13:49,2026/04/10 13:49,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:49,2026/04/10 13:49,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:50,2026/04/10 13:50,0:05,Webサイト（フォルダーの選択）の閲覧・調査
2026/04/10 13:50,2026/04/10 13:50,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:50,2026/04/10 13:50,0:05,Webサイト（フォルダーの選択）の閲覧・調査
2026/04/10 13:50,2026/04/10 13:50,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:50,2026/04/10 13:50,0:05,"Webサイト（data:, - プロファイル 1 - Microsoft? Edge）の閲覧・調査 / Webサイト（インフォメーション - プロファイル 1 - Microsoft? Edge）の閲覧・調査"
2026/04/10 13:50,2026/04/10 13:51,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理 / サイボウズ（トップページ - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理 / サイボウズ（メッセージの詳細 - サイボウズ Office - プロファイル 1 - Microsoft? Edge）での情報確認・処理 / サイボウズ（個人フォルダ -...
2026/04/10 13:51,2026/04/10 13:51,0:05,Antigravityを用いた「システム開発・改善」の開発・相談
2026/04/10 13:51,2026/04/10 13:51,0:05,サイボウズ（サイボウズOffice メールエクスポートツール）での情報確認・処理
2026/04/10 13:51,2026/04/10 13:51,0:05,Webサイト（フォルダーの選択）の閲覧・調査
