日付,作業時間帯,合計時間,開発プロジェクト・作業内容
2026/04/14,17:37～17:42,0:05,e-Stat APIの取得 - Google 検索 - Google Chrome
2026/04/14,17:37～17:42,0:05,e-Stat APIの取得 - Google 検索
2026/04/14,17:37～17:42,0:05,閲覧: 政府統計の総合窓口(e-Stat)−API機能 | 政府統計の総合窓口(e-Stat)−API機能
2026/04/14,17:37～17:42,0:05,政府統計の総合窓口(e-Stat)?API機能 | 政府統計の総合窓口(e-Stat)?API機能 - Google Chrome
2026/04/14,17:37～17:42,0:05,政府統計の総合窓口(e-Stat)?API機能 | 政府統計の総合窓口(e-Stat)?API機能
2026/04/15,"10:41～10:46, 17:41～17:46",0:10,Windows PowerShell
2026/04/15,"11:37～11:37, 13:15～14:44, 14:59～15:10, 16:25～16:27, 16:43～17:10",2:34,Antigravity
2026/04/15,13:49～13:54,0:05,Google Antigravity および他 8 ページ - My profile １ - Microsoft? Edge
2026/04/15,13:49～13:49,0:05,Google Antigravity Support および他 8 ページ - My profile １ - Microsoft? Edge
2026/04/15,13:49～13:54,0:05,Google Antigravity Support
2026/04/15,"14:18～14:31, 14:58～15:03",0:23,プログラム（Github - t_ito - Mozilla Thunderbird）の実装・修正
2026/04/15,16:35～16:40,0:05,PowerShell - エクスプローラー
2026/04/15,16:35～16:40,0:05,C:\Users\フォーレスト026\Desktop\OneDrive - フォーレスト株式会社\ドキュメント\PowerShell - エクスプローラー
2026/04/15,16:42～16:47,0:05,.antigravity とその他 1 個のタブ - エクスプローラー
2026/04/15,16:42～16:47,0:05,C:\Users\フォーレスト026\.antigravity とその他 1 個のタブ - エクスプローラー
2026/04/15,16:46～16:51,0:05,.git - エクスプローラー
2026/04/15,16:46～16:51,0:05,C:\Users\フォーレスト026\MyProject\MyProject\.git - エクスプローラー
2026/04/15,17:00～17:05,0:05,プログラムと機能
2026/04/15,17:00～17:05,0:05,コントロール パネル\すべてのコントロール パネル項目\プログラムと機能
2026/04/15,17:41～17:46,0:05,Windows PowerShell のジャンプ リスト
2026/04/15,"17:41～17:42, 18:03～18:04, 18:22～18:27",0:17,管理者: Windows PowerShell
2026/04/15,"18:03～18:04, 18:22～18:27",0:10,選択管理者: Windows PowerShell
2026/04/16,"09:00～09:23, 09:44～09:47, 10:05～10:12, 10:29～11:43, 12:45～14:16, 14:36～14:43, 16:42～16:47, 17:04～17:24, 17:41～17:41, 18:47～18:52",4:37,Antigravity
2026/04/16,"09:23～09:28, 10:58～11:03",0:10,Windows PowerShell のジャンプ リスト
2026/04/16,10:58～11:03,0:05,Windows PowerShell
2026/04/16,"10:58～11:02, 11:18～11:25, 18:47～18:52",0:24,管理者: Windows PowerShell
2026/04/16,"11:00～11:01, 11:23～11:24",0:12,選択管理者: Windows PowerShell
2026/04/17,"10:54～11:04, 11:37～11:42",0:19,Windows PowerShell
2026/04/19,20:04～20:09,0:05,閲覧: Messaging APIの料金 | LINE Developers
2026/04/20,13:19～13:24,0:05,amazon.co.jp/Dell-3420-1366×768ピクセル-i5-1145G7-Windows11/dp/B0G8WV1DP8/ref=sr_1_5?__mk_ja_JP=カタカナ&crid=2FAR561S6Q313&dib=eyJ2IjoiMSJ9.qMm5XFkMQCWDygorSuiMuQQPX7Tcgbz6DNF_wK52CTU1DIcwbkRYObDi1MHJrP5SOZr87idQG3Gx-CCFIXOea1M7mV6s0xM6XyDMMjN7fWOR6e1qeP2aDg2Qj122nV2HM2DY93qRq87ATjpXWNJSx825L2HFaPinqF0_ZcPvgLSgbUr05kmOeDpVtwkg-vuXPaf316k8twt2sHoSz41Z3WHdDoLog5g14_Lu9q_83NhesXYklnsj48L2hL4wXjALrNkf5dmE88b--mAFJchZYEaJSva8LIuOALrWiItfrd8.ZCoLWd3grnY8YspqftG_Mj1GxTOkI87tjo1rwUCWSO0&dib_tag=se&keywords=Dell+デル+Latitude+3420+第11世代&qid=1776658754&sprefix=dell+デル+latitude+3420+第11世代%2Caps%2C201&sr=8-5 - Comet
2026/04/20,"16:54～16:59, 17:11～17:54",0:53,Antigravity
2026/04/20,17:39～17:47,0:13,Windows PowerShell
2026/04/21,"11:22～12:15, 12:55～13:30, 13:48～14:32, 14:48～18:08",5:52,Antigravity
2026/04/21,15:12～15:17,0:05,閲覧: GeminiAPIを無料で使う 回数制限なし - Google 検索
2026/04/21,15:12～15:17,0:05,GeminiAPIを無料で使う 回数制限なし - Google 検索 - Google Chrome
2026/04/21,15:12～15:17,0:05,GeminiAPIを無料で使う 回数制限なし - Google 検索
2026/04/21,15:13～15:15,0:06,閲覧: Google AI Studioで「API Key」を無料で発行 - Google 検索
2026/04/21,15:13～15:14,0:05,Google AI Studioで「API Key」を無料で発行 - Google 検索 - Google Chrome
2026/04/21,15:13～15:15,0:06,Google AI Studioで「API Key」を無料で発行 - Google 検索
2026/04/21,15:16～15:21,0:05,閲覧: Gemini APIで学習させない設定方法｜企業のセキュリティ対策とオプトアウト設定手順 - AI経営総合研究所
2026/04/21,15:16～15:18,0:07,Gemini APIで学習させない設定方法｜企業のセキュリティ対策とオプトアウト設定手順 - AI経営総合研究所 - Google Chrome
2026/04/21,15:16～15:21,0:05,Gemini APIで学習させない設定方法｜企業のセキュリティ対策とオプトアウト設定手順 - AI経営総合研究所
2026/04/21,15:22～15:27,0:05,kintone（キントーン） | みんな、つくれる。業務アプリがつくれるサイボウズのノーコード・ローコードツール - プロファイル 1 - Microsoft? Edge
2026/04/21,15:46～15:46,0:05,Windows PowerShell
2026/04/21,"16:36～17:21, 17:42～17:47",0:55,Visual Studio Code
2026/04/22,"09:13～09:18, 09:38～09:47, 10:38～11:07, 11:22～12:24, 12:58～14:23, 16:16～16:21",3:35,Antigravity
2026/04/22,"10:47～10:52, 13:56～14:01",0:10,Windows PowerShell
2026/04/22,"13:46～13:55, 16:12～16:17",0:19,Python 3.12 (64-bit) のジャンプ リスト
2026/04/22,13:50～13:51,0:05,閲覧: https://api.choice.microsoft.com/msft.optout?opera
2026/04/22,13:50～13:51,0:05,閲覧: https://api.choice.msn.com/msft.optout?MS-CV=RBgHf
2026/04/22,13:50～13:51,0:05,閲覧: https://api.choice.bing.com/msft.optout?MS-CV=RBgH
2026/04/22,13:50～13:51,0:05,閲覧: https://api.choice.live.com/msft.optout?MS-CV=RBgH
2026/04/23,"16:10～16:15, 16:59～17:04",0:10,Antigravity
2026/04/24,"11:24～11:29, 11:45～12:05, 12:37～12:42, 13:06～14:43",2:16,クライアント実行バッチ - エクスプローラー
2026/04/24,"11:24～11:27, 11:45～11:59, 12:37～12:44, 13:00～14:44",2:28,\\10.85.33.230\01_全社共有\システム統括部\業改室\★大宮システム部\ESET\ESET定義配信\クライアント実行バッチ - エクスプローラー
2026/04/24,12:05～12:11,0:11,Y:\システム統括部\業改室\★大宮システム部\ESET\ESET定義配信\クライアント実行バッチ - エクスプローラー
2026/04/24,16:51～16:51,0:05,Antigravity
2026/04/27,"10:02～10:23, 10:56～11:11, 11:30～11:36, 11:52～12:10, 12:56～13:07, 17:17～17:22, 17:38～17:58",2:11,Antigravity
2026/04/27,10:04～10:09,0:05,プログラム（Gitコミット: Update tool scripts and cleanup TEST directory）の実装・修正
2026/04/27,10:11～10:15,0:08,閲覧: Antigravity内で使用できるブラウザ - Google 検索
2026/04/27,10:11～10:16,0:09,Antigravity内で使用できるブラウザ - Google 検索 - Google Chrome
2026/04/27,10:11～10:15,0:08,Antigravity内で使用できるブラウザ - Google 検索
2026/04/27,10:11～10:16,0:05,閲覧: Antigravityのブラウザ連携に感動 #AI - Qiita
2026/04/27,10:11～10:13,0:06,Antigravityのブラウザ連携に感動 #AI - Qiita - Google Chrome
2026/04/27,10:11～10:16,0:05,Antigravityのブラウザ連携に感動 #AI - Qiita
2026/04/27,10:13～10:18,0:05,閲覧: Antigravity（アンチグラビティ）でブラウザ操作ができるって知ってた？？｜えーAI｜ChatGPT初期ユーザーのAI副業術
2026/04/27,10:13～10:15,0:06,Antigravity（アンチグラビティ）でブラウザ操作ができるって知ってた？？｜えーAI｜ChatGPT初期ユーザーのAI副業術 - Google Chrome
2026/04/27,10:13～10:18,0:05,Antigravity（アンチグラビティ）でブラウザ操作ができるって知ってた？？｜えーAI｜ChatGPT初期ユーザーのAI副業術
2026/04/27,10:16～10:21,0:05,閲覧: antigravity browser extension インストール - Google 検索
2026/04/27,"10:16～10:26, 10:44～10:49",0:20,antigravity browser extension インストール - Google 検索 - Google Chrome
2026/04/27,10:16～10:21,0:05,antigravity browser extension インストール - Google 検索
2026/04/27,10:38～10:43,0:05,閲覧: Qiita
2026/04/27,10:38～10:43,0:05,Qiita - Google Chrome
2026/04/27,10:38～10:43,0:05,Qiita
2026/04/27,10:38～10:43,0:05,閲覧: Webのしないといけないセキュリティ対策 #Python - Qiita
2026/04/27,"10:38～10:48, 11:23～11:28",0:19,Webのしないといけないセキュリティ対策 #Python - Qiita - Google Chrome
2026/04/27,10:38～10:43,0:05,Webのしないといけないセキュリティ対策 #Python - Qiita
2026/04/27,"10:59～11:04, 13:05～13:10, 17:58～18:03",0:15,Antigravity対話ログの更新
2026/04/27,11:41～11:46,0:05,プログラム（Github - t_ito - Mozilla Thunderbird）の実装・修正
2026/04/28,"08:55～09:03, 09:25～09:25, 10:07～10:12, 11:56～12:01, 13:11～13:16, 15:55～16:00, 17:05～17:31, 17:46～18:09, 18:28～18:29, 21:57～23:54",3:44,Antigravity
2026/04/28,10:11～10:11,0:05,プログラム（Git Bash のジャンプ リスト）の実装・修正
2026/04/28,10:11～10:16,0:05,Windows PowerShell のジャンプ リスト
2026/04/28,10:11～10:21,0:14,管理者: Windows PowerShell
2026/04/28,10:12～10:12,0:05,選択管理者: Windows PowerShell
2026/04/28,"17:17～17:17, 17:55～17:58",0:12,閲覧: API keys | Google AI Studio
2026/04/28,"17:17～17:19, 17:54～17:58",0:15,API keys | Google AI Studio - Google Chrome
2026/04/28,"17:17～17:22, 17:55～17:58",0:13,API keys | Google AI Studio
2026/04/28,17:54～17:57,0:07,閲覧: GeminiAPI 現在のバージョン - Google 検索
2026/04/28,17:54～18:04,0:15,GeminiAPI 現在のバージョン - Google 検索 - Google Chrome
2026/04/28,17:54～17:57,0:07,GeminiAPI 現在のバージョン - Google 検索
2026/04/28,17:54～17:59,0:05,閲覧: Gemini 3.1 Pro プレビュー版  |  Gemini API  |  Google AI for Developers
2026/04/28,17:54～17:59,0:05,Gemini 3.1 Pro プレビュー版 ?|? Gemini API ?|? Google AI for Developers - Google Chrome
2026/04/28,17:55～18:00,0:05,Gemini 3.1 Pro プレビュー版 ?|? Gemini API ?|? Google AI for Developers
2026/04/28,18:05～18:10,0:05,閲覧: APIエラー503の原因と対策 - Google Gemini
2026/04/28,18:05～18:06,0:05,APIエラー503の原因と対策 - Google Gemini - Google Chrome
2026/04/28,21:49～21:54,0:05,プログラム（Gitコミット: feat: 残業調査報告書の自動生成ツール（Gemini AI要約・Word出力対応）を追加）の実装・修正
2026/04/28,21:53～21:58,0:05,プログラム（Gitコミット: fix: Wordファイルを開いたままでもエラーにならず別名保存する機能を追加）の実装・修正
2026/04/28,22:10～22:15,0:05,プログラム（Gitコミット: fix: アプリケーションの分類名を過去の資料に準拠したフォーマットに変更し、NANや長いURLを丸めるように修正）の実装・修正
2026/04/28,22:12～22:17,0:05,プログラム（Gitコミット: fix: Wordの出力ヘッダーを過去資料と完全に一致させるように修正（曜日、推測される作業時間の自動計算等））の実装・修正
2026/04/28,22:26～22:31,0:05,プログラム（Gitコミット: feat: 複数のCSVファイルを一括で選択・連続処理できるバッチ機能を追加）の実装・修正
2026/04/28,22:37～22:42,0:05,プログラム（Gitコミット: fix: NAS上のCSV読み込み時の文字コードエラーを回避するため、複数のエンコーディングを自動試行する安全機能を実装）の実装・修正
2026/04/28,22:46～22:51,0:05,プログラム（Gitコミット: feat: 勤怠マスタのH列またはL列が赤色（背景色あり）になっている「監査対象日」のみを抽出・出力する機能を実装）の実装・修正
2026/04/28,22:48～22:53,0:05,プログラム（Gitコミット: fix: 監査対象日の判定をセルの背景色ではなく、文字色が赤等に変更されている箇所を検知するように修正）の実装・修正
2026/04/28,22:57～23:02,0:05,プログラム（Gitコミット: fix: 早出サービス残業対策としてA列の文字色が赤くなっている場合も監査対象として検知するように追加）の実装・修正
2026/04/28,23:12～23:17,0:05,プログラム（Gitコミット: fix: 複数日が含まれるCSVのファイル名から対象者を推測する際、マスタの全氏名と照合する安全なロジックに変更）の実装・修正
2026/04/28,23:17～23:22,0:05,プログラム（Gitコミット: fix: 年のズレによる監査対象漏れを防ぐため月日で照合し、テーマカラーでの赤文字も検知するように強化）の実装・修正
2026/04/28,23:24～23:29,0:05,プログラム（Gitコミット: fix: 監査対象の判定を曖昧な文字色から、AC列の「〇」印による確実な判定に変更）の実装・修正
2026/04/28,23:31～23:36,0:05,プログラム（Gitコミット: feat: 早出検知時にWordヘッダーへ出勤打刻時間および出勤前/退勤後の推測時間を分けて出力するよう機能追加）の実装・修正
2026/04/28,23:41～23:46,0:05,プログラム（Gitコミット: fix: 推測時間とアプリ稼働時間の表示を、1時間未満なら分のみ、1時間なら時間のみとなる自然な日本語フォーマットに変更）の実装・修正
2026/04/28,23:52～23:57,0:05,プログラム（Gitコミット: fix: 429API制限エラーの回避処理と、O列(タイトル)ベースでのG列(日時)差分による正確な操作時間集計ロジックを実装）の実装・修正
2026/04/28,23:52～23:57,0:05,Antigravity対話ログの更新
2026/04/29,"00:13～00:18, 00:40～00:48, 10:21～10:26",0:23,Antigravity
2026/04/29,14:18～14:23,0:05,閲覧: google 有料プラン 一覧 Pro API 利用 クオータ - Google 検索
2026/04/29,14:20～14:21,0:05,閲覧: 無料で使えるAPI - Google 検索
2026/04/29,14:20～14:25,0:05,閲覧: 今すぐ使える無料WebAPIまとめ #初心者 - Qiita
2026/04/29,14:21～14:26,0:05,閲覧: 無料で使えるAI API - Google 検索
2026/04/29,14:21～14:26,0:05,閲覧: 生成AI無料APIの一覧｜ばんどう先生｜ピープルアナリティクス・人生戦略研究
2026/04/29,14:33～14:38,0:05,閲覧: Gemini API クオータ問題解決策 - Google Gemini
2026/04/29,14:35～14:40,0:09,閲覧: API keys | Google AI Studio
2026/04/30,"08:56～09:01, 14:02～14:07",0:10,閲覧: APIエラー503の原因と対策 - Google Gemini
2026/04/30,"08:56～08:57, 14:02～14:07",0:10,API keys | Google AI Studio
2026/04/30,"08:56～09:01, 14:02～14:07",0:10,APIエラー503の原因と対策 - Google Gemini
2026/04/30,"08:56～09:01, 14:02～14:07",0:10,Gemini 3.1 Pro プレビュー版 ?|? Gemini API ?|? Google AI for Developers
2026/04/30,"08:57～08:57, 14:02～14:07",0:10,閲覧: API keys | Google AI Studio
2026/04/30,"08:57～09:02, 14:02～14:07",0:10,閲覧: Gemini 3.1 Pro プレビュー版  |  Gemini API  |  Google AI for Developers
2026/04/30,"09:09～11:58, 13:01～15:49, 16:15～17:50",7:26,Antigravity
2026/04/30,09:19～09:24,0:05,閲覧: github - Google 検索
2026/04/30,09:19～09:24,0:05,github - Google 検索 - Google Chrome
2026/04/30,09:19～09:24,0:05,プログラム（閲覧: GitHub Japan | GitHub）の実装・修正
2026/04/30,09:19～09:24,0:05,github - Google 検索
2026/04/30,09:19～09:24,0:05,github.co.jp - Google Chrome
2026/04/30,09:19～09:24,0:05,プログラム（GitHub Japan | GitHub - Google Chrome）の実装・修正
2026/04/30,09:19～09:24,0:05,プログラム（GitHub Japan | GitHub）の実装・修正
2026/04/30,09:20～09:25,0:05,プログラム（閲覧: Sign in to GitHub · GitHub）の実装・修正
2026/04/30,09:20～09:25,0:05,github.com/login - Google Chrome
2026/04/30,09:20～09:25,0:05,プログラム（Sign in to GitHub ・ GitHub - Google Chrome）の実装・修正
2026/04/30,09:20～09:25,0:05,プログラム（Sign in to GitHub ・ GitHub）の実装・修正
2026/04/30,09:20～09:23,0:07,プログラム（閲覧: GitHub）の実装・修正
2026/04/30,09:20～09:23,0:07,プログラム（GitHub - Google Chrome）の実装・修正
2026/04/30,09:20～09:23,0:07,プログラム（GitHub）の実装・修正
2026/04/30,10:12～10:16,0:09,Antigravity対話ログの更新
2026/04/30,13:15～13:15,0:05,Visual Studio Code
2026/04/30,14:12～14:13,0:05,APIエラー503の原因と対策 - Google Gemini - Google Chrome
2026/04/30,17:35～17:40,0:05,Google Antigravity および他 2 ページ - My profile １ - Microsoft? Edge
2026/04/30,17:35～17:40,0:05,閲覧: Google Antigravity
2026/05/01,"09:18～09:28, 10:31～10:41, 11:20～11:20, 11:39～11:53, 12:19～12:24, 18:59～19:04",1:03,Antigravity
2026/05/01,10:33～10:38,0:05,閲覧: Antigravity クォータ使用量の確認方法 - Google Gemini
2026/05/01,"10:33～10:38, 11:23～11:28",0:15,Antigravity クォータ使用量の確認方法 - Google Gemini - Google Chrome
2026/05/01,10:42～10:47,0:05,プログラム（Gitコミット: Update Workmemo tools and add test scripts）の実装・修正
2026/05/01,11:23～11:28,0:05,Antigravity クォータ使用量の確認方法 - Google Gemini
2026/05/01,11:33～11:36,0:08,プロビジョニングによるWindows10キッティング① プロビジョニングパッケージの作成 #Provisioning - Qiita および他 3 ページ - My profile １ - Microsoft? Edge
2026/05/01,11:33～11:38,0:05,閲覧: プロビジョニングによるWindows10キッティング① プロビジョニングパッケージの作成 #Provisioning - Qiita
2026/05/01,11:33～11:38,0:05,プロビジョニングによるWindows10キッティング① プロビジョニングパッケージの作成 #Provisioning - Qiita
2026/05/01,11:33～11:38,0:05,プログラムと機能
2026/05/01,11:33～11:57,0:29,コントロール パネル\すべてのコントロール パネル項目\プログラムと機能
2026/05/01,11:36～11:41,0:05,https://qiita-image-store.s3.ap-northeast-1.amazonaws.com/0/306662/b575042c-d0ef-2805-ac9a-2865a3284470.png (1120×824) および他 4 ページ - My profile １ - Microsoft? Edge
2026/05/01,11:36～11:41,0:05,https://qiita-image-store.s3.ap-northeast-1.amazonaws.com/0/306662/b575042c-d0ef-2805-ac9a-2865a3284470.png (1120×824)
2026/05/01,11:36～11:41,0:05,閲覧: https://qiita-image-store.s3.ap-northeast-1.amazonaws.com/0/306662/b575042c-d0ef-2805-ac9a-2865a3284470.png (1120×824)
2026/05/01,11:51～11:56,0:05,Antigravity対話ログの更新
2026/05/01,11:53～11:58,0:05,bing.com/ck/a?!&&p=3cbb6137ee06b7a4741120fd4b816e204c4cf57c99715576c9becf28140d12bcJmltdHM9MTc3NzUwNzIwMA&ptn=3&ver=2&hsh=4&fclid=3bb8071d-bc90-6601-256d-1051bdc8677b&psq=Windows+Update&u=a1aHR0cHM6Ly9zdXBwb3J0Lm1pY3Jvc29mdC5jb20vamEtanAvd2luZG93cy93aW5kb3dzLSVFNiU5QiVCNCVFNiU5NiVCMCVFMyU4MyU5NyVFMyU4MyVBRCVFMyU4MiVCMCVFMyU4MyVBOSVFMyU4MyVBMCVFNyU5NCVBOCVFMyU4MSVBQiVFNyVBOSVCQSVFMyU4MSU4RCVFOSVBMCU5OCVFNSU5RiU5RiVFMyU4MiU5MiVFNSVBMiU5NyVFMyU4MiU4NCVFMyU4MSU5OSVFMyU4MSVBQiVFMyU4MSVBRi00MjliMTJiYS1mNTE0LWJlMGItNDkyNC1jYTZkMTZmYTFkNjU&ntb=1 および他 6 ページ - My profile １ - Microsoft? Edge
2026/05/01,11:53～11:58,0:05,bing.com/ck/a?!&&p=3cbb6137ee06b7a4741120fd4b816e204c4cf57c99715576c9becf28140d12bcJmltdHM9MTc3NzUwNzIwMA&ptn=3&ver=2&hsh=4&fclid=3bb8071d-bc90-6601-256d-1051bdc8677b&psq=Windows+Update&u=a1aHR0cHM6Ly9zdXBwb3J0Lm1pY3Jvc29mdC5jb20vamEtanAvd2luZG93cy93aW5kb3dzLSVFNiU5QiVCNCVFNiU5NiVCMCVFMyU4MyU5NyVFMyU4MyVBRCVFMyU4MiVCMCVFMyU4MyVBOSVFMyU4MyVBMCVFNyU5NCVBOCVFMyU4MSVBQiVFNyVBOSVCQSVFMyU4MSU4RCVFOSVBMCU5OCVFNSU5RiU5RiVFMyU4MiU5MiVFNSVBMiU5NyVFMyU4MiU4NCVFMyU4MSU5OSVFMyU4MSVBQiVFMyU4MSVBRi00MjliMTJiYS1mNTE0LWJlMGItNDkyNC1jYTZkMTZmYTFkNjU&ntb=1
2026/05/01,11:53～11:58,0:05,Windows 更新プログラム用に空き領域を増やすには - Microsoft サポート および他 6 ページ - My profile １ - Microsoft? Edge
2026/05/01,11:53～11:58,0:05,閲覧: Windows 更新プログラム用に空き領域を増やすには - Microsoft サポート
2026/05/01,11:53～11:58,0:05,Windows 更新プログラム用に空き領域を増やすには - Microsoft サポート
2026/05/01,13:55～14:00,0:05,プロビジョニングによるWindows10キッティング① プロビジョニングパッケージの作成 #Provisioning - Qiita および他 5 ページ - My profile １ - Microsoft? Edge
2026/05/01,14:11～14:11,0:05,Windows PowerShell ISE
2026/05/01,22:42～22:47,0:05,閲覧: Messaging APIの料金 | LINE Developers
2026/05/02,09:21～09:26,0:05,Automated Device Provisioning via ICD and PowerShell Scripts - NotebookLM - Google Chrome
2026/05/02,09:21～09:26,0:05,Automated Device Provisioning via ICD and PowerShell Scripts - NotebookLM
2026/05/02,10:28～10:33,0:09,コントロール パネル\すべてのコントロール パネル項目\プログラムと機能
2026/05/02,10:30～10:31,0:06,プログラムと機能
2026/05/02,"13:21～13:22, 16:31～16:31",0:11,Windows PowerShell ISE
2026/05/06,09:15～09:16,0:05,閲覧: Claude CodeがAPIキー不要に：開発者のセキュリティ負荷を下げる新認証を導入 | XenoSpectrum
2026/05/06,"14:29～14:34, 14:49～15:59",1:19,Antigravity
2026/05/07,"10:23～10:27, 10:53～10:58, 17:17～17:45, 18:04～18:09",0:53,Antigravity
2026/05/07,17:21～17:26,0:05,Antigravity対話ログの更新
2026/05/08,"09:08～09:13, 14:53～15:29, 15:57～17:15, 17:37～18:09, 18:45～18:53",2:59,Antigravity
2026/05/08,10:41～11:05,0:28,Windows PowerShell ISE
2026/05/08,11:46～11:47,0:06,閲覧: 【レビュー】バッチファイルを配布しやすいEXE型式に変換「Bat To Exe Converter」 - 窓の杜
2026/05/08,11:46～11:48,0:06,【レビュー】バッチファイルを配布しやすいEXE型式に変換「Bat To Exe Converter」 - 窓の杜 - Google Chrome
2026/05/08,11:46～11:47,0:06,【レビュー】バッチファイルを配布しやすいEXE型式に変換「Bat To Exe Converter」 - 窓の杜
2026/05/09,"13:22～13:27, 13:46～13:51, 15:08～15:13",0:15,閲覧: Claude CodeがAPIキー不要に：開発者のセキュリティ負荷を下げる新認証を導入 | XenoSpectrum
2026/05/09,15:04～15:09,0:05,Antigravity
2026/05/10,06:24～06:29,0:05,閲覧: Antigravity エージェントの設定方法 - Google 検索
2026/05/10,06:24～06:29,0:05,"閲覧: 【保存版】Google Antigravity 完全攻略ガイド｜次世代 ""エージェント型"" IDEのすべてを使い倒すチートシート #生成AI - Qiita"
