開始日時,終了日時,滞在時間,状態,アプリケーション名,ウィンドウタイトル,AI作業解析内容
2026/08/12 15:01:59,2026/08/12 15:02:00,1秒,作業中,EXCEL.EXE,【長期欠品更新専用】品目情報.csv - Excel,
2026/08/12 15:02:00,2026/08/12 15:02:01,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:01,2026/08/12 15:02:02,1秒,作業中,explorer.exe,基幹→OA - エクスプローラー,
2026/08/12 15:02:02,2026/08/12 15:02:03,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:03,2026/08/12 15:02:07,4秒,作業中,EXCEL.EXE,未入荷リスト_新.csv - Excel,
2026/08/12 15:02:07,2026/08/12 15:02:09,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:09,2026/08/12 15:02:10,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:02:10,2026/08/12 15:02:13,3秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:13,2026/08/12 15:02:14,1秒,作業中,EXCEL.EXE,未入荷リスト_新.csv - Excel,
2026/08/12 15:02:14,2026/08/12 15:02:15,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:15,2026/08/12 15:02:20,5秒,作業中,explorer.exe,基幹→OA - エクスプローラー,
2026/08/12 15:02:20,2026/08/12 15:02:21,1秒,作業中,EXCEL.EXE,Excel,
2026/08/12 15:02:21,2026/08/12 15:02:29,8秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:02:29,2026/08/12 15:02:35,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:35,2026/08/12 15:02:40,5秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:02:40,2026/08/12 15:02:41,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:41,2026/08/12 15:02:42,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:02:42,2026/08/12 15:02:43,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:43,2026/08/12 15:02:48,5秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:02:48,2026/08/12 15:02:51,3秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:02:51,2026/08/12 15:02:52,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:02:52,2026/08/12 15:02:54,2秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:02:54,2026/08/12 15:02:55,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:02:55,2026/08/12 15:03:01,6秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:03:01,2026/08/12 15:03:02,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:03:02,2026/08/12 15:03:05,3秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:03:05,2026/08/12 15:03:07,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:03:07,2026/08/12 15:03:08,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:03:08,2026/08/12 15:03:10,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:03:10,2026/08/12 15:03:11,1秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:03:11,2026/08/12 15:03:28,16秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:03:28,2026/08/12 15:03:30,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:03:30,2026/08/12 15:03:40,10秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:03:40,2026/08/12 15:03:41,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:03:41,2026/08/12 15:03:43,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:03:43,2026/08/12 15:03:45,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:03:45,2026/08/12 15:05:02,76秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:05:02,2026/08/12 15:05:03,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:05:03,2026/08/12 15:05:46,42秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:05:46,2026/08/12 15:05:48,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:05:48,2026/08/12 15:06:09,21秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:06:09,2026/08/12 15:06:10,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:06:10,2026/08/12 15:06:15,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:06:15,2026/08/12 15:06:17,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:06:17,2026/08/12 15:06:44,27秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:06:44,2026/08/12 15:06:48,4秒,作業中,EXCEL.EXE,,
2026/08/12 15:06:48,2026/08/12 15:07:00,12秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:07:00,2026/08/12 15:07:02,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:07:02,2026/08/12 15:07:03,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:07:03,2026/08/12 15:07:06,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:07:06,2026/08/12 15:07:43,36秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:07:43,2026/08/12 15:07:44,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:07:44,2026/08/12 15:07:58,14秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:07:58,2026/08/12 15:08:00,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:08:00,2026/08/12 15:08:01,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:08:01,2026/08/12 15:08:05,4秒,作業中,EXCEL.EXE,,
2026/08/12 15:08:05,2026/08/12 15:08:06,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:08:06,2026/08/12 15:08:07,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:08:07,2026/08/12 15:08:08,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:08:08,2026/08/12 15:08:10,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:08:10,2026/08/12 15:08:30,20秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:08:30,2026/08/12 15:08:33,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:08:33,2026/08/12 15:08:37,4秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:08:37,2026/08/12 15:08:46,9秒,作業中,EXCEL.EXE,,
2026/08/12 15:08:46,2026/08/12 15:09:04,18秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:09:04,2026/08/12 15:09:05,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:09:05,2026/08/12 15:09:32,27秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:09:32,2026/08/12 15:09:33,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:09:33,2026/08/12 15:11:54,140秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:11:54,2026/08/12 15:11:55,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:11:55,2026/08/12 15:12:18,22秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:12:18,2026/08/12 15:12:20,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:12:20,2026/08/12 15:12:25,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:12:25,2026/08/12 15:12:28,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:12:28,2026/08/12 15:12:29,1秒,作業中,EXCEL.EXE,カスタム オートフィルター,
2026/08/12 15:12:29,2026/08/12 15:13:17,48秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:13:17,2026/08/12 15:13:18,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:13:18,2026/08/12 15:13:37,19秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:13:37,2026/08/12 15:13:39,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:13:39,2026/08/12 15:13:46,7秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:13:46,2026/08/12 15:13:47,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:13:47,2026/08/12 15:13:53,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:13:53,2026/08/12 15:13:55,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:13:55,2026/08/12 15:14:00,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:14:00,2026/08/12 15:14:01,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:14:01,2026/08/12 15:14:08,7秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:14:08,2026/08/12 15:14:09,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:14:09,2026/08/12 15:14:16,7秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:14:16,2026/08/12 15:14:19,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:14:19,2026/08/12 15:14:30,11秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:14:30,2026/08/12 15:14:31,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:14:31,2026/08/12 15:14:33,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:14:33,2026/08/12 15:14:35,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:14:35,2026/08/12 15:14:42,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:14:42,2026/08/12 15:14:44,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:14:44,2026/08/12 15:15:04,20秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:15:04,2026/08/12 15:15:06,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:15:06,2026/08/12 15:15:10,4秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:15:10,2026/08/12 15:15:15,5秒,作業中,EXCEL.EXE,,
2026/08/12 15:15:15,2026/08/12 15:15:18,3秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:15:18,2026/08/12 15:15:20,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:15:20,2026/08/12 15:15:56,36秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:15:56,2026/08/12 15:15:57,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:15:57,2026/08/12 15:16:05,8秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:16:05,2026/08/12 15:16:06,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:16:06,2026/08/12 15:16:18,12秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:16:18,2026/08/12 15:16:19,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:16:19,2026/08/12 15:16:31,12秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:16:31,2026/08/12 15:16:33,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:16:33,2026/08/12 15:16:48,14秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:16:48,2026/08/12 15:16:49,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:16:49,2026/08/12 15:17:12,23秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:17:12,2026/08/12 15:17:13,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:17:13,2026/08/12 15:17:16,3秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:17:16,2026/08/12 15:17:19,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:17:19,2026/08/12 15:17:37,18秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:17:37,2026/08/12 15:17:38,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:17:38,2026/08/12 15:19:58,139秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:19:58,2026/08/12 15:20:01,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:20:01,2026/08/12 15:20:07,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:20:07,2026/08/12 15:20:11,4秒,作業中,EXCEL.EXE,,
2026/08/12 15:20:11,2026/08/12 15:21:17,65秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:21:17,2026/08/12 15:21:18,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:21:18,2026/08/12 15:21:24,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:21:24,2026/08/12 15:21:25,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:21:25,2026/08/12 15:21:31,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:21:31,2026/08/12 15:21:33,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:21:33,2026/08/12 15:21:38,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:21:38,2026/08/12 15:21:39,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:21:39,2026/08/12 15:22:05,26秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:22:05,2026/08/12 15:22:07,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:22:07,2026/08/12 15:22:13,6秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:22:13,2026/08/12 15:22:14,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:22:14,2026/08/12 15:22:15,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:22:15,2026/08/12 15:22:16,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:22:16,2026/08/12 15:22:18,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:22:18,2026/08/12 15:22:25,7秒,作業中,EXCEL.EXE,,
2026/08/12 15:22:25,2026/08/12 15:22:32,7秒,作業中,explorer.exe,基幹→OA - エクスプローラー,
2026/08/12 15:22:32,2026/08/12 15:22:33,1秒,作業中,explorer.exe,複数ファイルの削除,
2026/08/12 15:22:33,2026/08/12 15:23:10,37秒,作業中,explorer.exe,基幹→OA - エクスプローラー,
2026/08/12 15:23:10,2026/08/12 15:23:15,5秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:23:15,2026/08/12 15:23:20,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:23:20,2026/08/12 15:23:21,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:23:21,2026/08/12 15:23:22,1秒,作業中,explorer.exe,タスクの切り替え,
2026/08/12 15:23:22,2026/08/12 15:23:25,3秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:23:25,2026/08/12 15:23:42,17秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:23:42,2026/08/12 15:23:43,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:23:43,2026/08/12 15:23:45,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:23:45,2026/08/12 15:23:49,3秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:23:49,2026/08/12 15:23:52,3秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:23:52,2026/08/12 15:23:53,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:23:53,2026/08/12 15:23:57,4秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:23:57,2026/08/12 15:23:58,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:23:58,2026/08/12 15:24:00,2秒,作業中,EXCEL.EXE,,
2026/08/12 15:24:00,2026/08/12 15:24:04,4秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:24:04,2026/08/12 15:24:07,3秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:24:07,2026/08/12 15:24:08,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:24:08,2026/08/12 15:24:09,1秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:24:09,2026/08/12 15:24:14,5秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:24:14,2026/08/12 15:24:15,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:24:15,2026/08/12 15:24:20,5秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:24:20,2026/08/12 15:24:21,1秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:24:21,2026/08/12 15:24:22,1秒,作業中,EXCEL.EXE,長期欠品設定解除依頼.xlsx - Excel,
2026/08/12 15:24:22,2026/08/12 15:24:23,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:24:23,2026/08/12 15:24:42,19秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:24:42,2026/08/12 15:24:43,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:24:43,2026/08/12 15:25:01,18秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:25:01,2026/08/12 15:25:02,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:25:02,2026/08/12 15:25:12,9秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:25:12,2026/08/12 15:25:13,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:25:13,2026/08/12 15:25:17,3秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:25:17,2026/08/12 15:25:18,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:25:18,2026/08/12 15:25:39,21秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:25:39,2026/08/12 15:25:40,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:25:40,2026/08/12 15:25:56,16秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:25:56,2026/08/12 15:25:57,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:25:57,2026/08/12 15:26:09,12秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:26:09,2026/08/12 15:26:10,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:26:10,2026/08/12 15:26:23,13秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:26:23,2026/08/12 15:26:24,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:26:24,2026/08/12 15:26:29,4秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:26:29,2026/08/12 15:26:32,3秒,作業中,EXCEL.EXE,,
2026/08/12 15:26:32,2026/08/12 15:26:46,13秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:26:46,2026/08/12 15:26:48,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:26:48,2026/08/12 15:26:57,9秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:26:57,2026/08/12 15:26:58,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:26:58,2026/08/12 15:27:00,2秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:27:00,2026/08/12 15:27:01,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:27:01,2026/08/12 15:27:40,39秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:27:40,2026/08/12 15:27:42,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:27:42,2026/08/12 15:27:53,11秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:27:53,2026/08/12 15:27:54,1秒,作業中,EXCEL.EXE,,
2026/08/12 15:27:54,2026/08/12 15:28:07,13秒,作業中,EXCEL.EXE,0812長期欠品管理表.xlsb - Excel,
2026/08/12 15:28:07,2026/08/12 15:28:08,1秒,作業中,explorer.exe,,
