ïiñ⁄cd,â◊épcd,∂¿¡◊,íçî‘,î≠íç◊›∏,ëqå…cd
004720,12,111,756533,9997,4
004723,12,111,757752,10CA,4
004724,12,111,757753,10JF,4
004725,12,111,757754,10CA,4
004726,12,111,757756,10CA,4
004771,12,111,752524,9997,4
004772,12,111,752523,10AA,4
004773,12,111,752522,10AA,4
004779,12,111,756451,9996,4
004789,12,111,752581,10AA,4
004789,13,111,754516,10AA,4
004790,12,111,756453,10BA,4
004791,12,111,752582,10AA,4
004791,13,111,754517,10AA,4
004792,12,111,756454,10AA,4
004793,12,111,752583,10AA,4
004794,12,111,752584,10AA,4
004795,12,111,752585,10AA,4
004795,13,111,751445,10AA,4
004796,12,111,752586,10BA,4
004796,13,111,RG8466,10BA,4
004797,12,111,756455,10BA,4
004798,12,111,756456,10BA,4
004802,12,111,756460,10CA,4
004812,12,111,757144,10JF,4
004813,12,111,757148,10AA,4
004814,12,111,757145,10BA,4
004815,12,111,757149,10AA,4
004816,12,111,757146,10AA,4
004817,12,111,757150,10AA,4
004817,13,111,772414,10AA,4
004818,12,111,757147,10AA,4
004819,12,111,757151,10AA,4
004820,12,111,752527,10AA,4
004821,12,111,752528,10AA,4
004822,12,111,752529,10AA,4
004823,12,111,752530,10BA,4
004824,12,111,752531,10AA,4
004825,12,111,752532,10AA,4
004828,12,111,756550,10AA,4
004829,12,111,752639,10AA,4
004829,13,111,754527,10AA,4
004830,12,111,752640,10AA,4
004830,13,111,754528,10AA,4
004832,12,111,752641,10AA,4
004832,13,111,754529,10AA,4
004833,12,111,752642,10AA,4
004833,13,111,754530,10AA,4
004834,12,111,752644,10AA,4
004834,13,111,R23030,10AA,4
004835,12,111,756553,10BA,4
004837,12,111,756552,10AA,4
004838,12,111,752645,10AA,4
004856,12,111,756381,10BA,4
004857,12,111,752450,10AA,4
004858,12,111,752451,10AA,4
004869,12,111,752466,10AA,4
004870,12,111,752467,10AA,4
004871,12,111,752468,10AA,4
004872,12,111,752469,10AA,4
004873,12,111,752470,10AA,4
004874,12,111,752471,10AA,4
004874,13,111,751430,10AA,4
004875,12,111,752473,10AA,4
004875,13,111,751431,10AA,4
004876,12,111,752474,10AA,4
004876,13,111,751432,10AA,4
004877,12,111,752475,10AA,4
004880,12,111,752484,10BA,4
004884,12,111,752459,10AA,4
004885,12,111,752460,10AA,4
004886,12,111,752461,10AA,4
004887,12,111,752462,10AA,4
004888,12,111,752464,10BA,4
004893,12,111,752734,10BA,4
004894,12,111,752735,10BA,4
004895,12,111,756872,10CA,4
004905,12,111,752666,10AA,4
004905,13,111,754540,10AA,4
004908,12,111,752662,9997,4
004908,13,111,754538,9997,4
004910,12,111,752658,10JF,4
004910,13,111,754827,10JF,4
004911,12,111,752657,10JF,4
004911,13,111,754826,10JF,4
004912,12,111,752656,10JF,4
004912,13,111,752664,10JF,4
004913,12,111,752669,10AA,4
004913,13,111,751444,10AA,4
004914,12,111,756560,10AA,4
004914,13,111,769475,10AA,4
004915,12,111,752671,10JF,4
004915,13,111,R47810,10JF,4
004916,12,111,752670,10JF,4
004916,13,111,R47809,10JF,4
004917,12,111,756561,10JF,4
004917,13,111,R47808,10JF,4
004921,12,111,752648,10AA,4
004921,13,111,754531,10AA,4
004922,12,111,752649,10AA,4
004924,12,111,752650,10AA,4
004925,12,111,752651,10AA,4
004925,13,111,754532,10AA,4
004939,12,111,752677,10AA,4
004941,12,111,752870,10AA,4
004941,13,111,R260GF,10AA,4
004942,12,111,752871,10AA,4
004943,12,111,756571,10AA,4
004943,13,111,R1841C,10AA,4
004944,12,111,756570,10AA,4
004944,13,111,769476,10AA,4
004950,12,111,752675,10AA,4
004951,12,111,756568,10BA,4
004969,12,111,756479,10AA,4
004970,12,111,752599,10AA,4
004971,12,111,756480,10AA,4
004980,12,111,756519,10BA,4
004981,12,111,756520,10BA,4
004982,12,111,756521,10BA,4
004983,12,111,756523,10BA,4
004984,12,111,756524,10BA,4
004985,12,111,756525,10BA,4
004986,12,111,752612,10BA,4
004987,12,111,756526,10BB,4
004988,12,111,756527,10BA,4
004989,12,111,756528,10BA,4
004990,12,111,756529,10BA,4
004991,12,111,756530,10BA,4
004992,12,111,752613,10BA,4
004993,12,111,756532,10BA,4
005046,12,111,752575,10AA,4
005046,13,111,751447,10AA,4
005047,12,111,756442,10AA,4
005047,13,111,769477,10AA,4
005048,12,111,752576,10AA,4
005048,13,111,751448,10AA,4
005049,12,111,756443,10AA,4
005049,13,111,769478,10AA,4
005050,12,111,756444,10AA,4
005051,12,111,756445,10BA,4
005052,12,111,756446,10AA,4
005052,13,111,769480,10AA,4
005067,12,111,756418,10AA,4
005068,12,111,756419,10AA,4
005069,12,111,756420,10AA,4
005070,12,111,752543,10AA,4
005070,13,111,754511,10AA,4
005071,12,111,752536,10AA,4
005072,12,111,752537,10AA,4
005073,12,111,752538,10BA,4
005075,12,111,752539,10AA,4
005076,12,111,752540,10AA,4
005084,12,111,752693,10BB,2
005085,12,111,756586,10CA,2
005086,12,111,756588,10CA,2
005087,12,111,756587,10DC,2
005088,12,111,752694,10CA,2
005089,12,111,752695,10BA,2
005090,12,111,752696,10BA,2
005091,12,111,752698,10BA,2
005097,12,111,752699,10BA,2
005098,12,111,752700,10BA,2
005099,12,111,752701,10BA,2
005100,12,111,752702,10CB,2
005101,12,111,752703,10CA,2
005105,12,111,752704,10BA,2
005106,12,111,752705,10BA,2
005107,12,111,752707,10BA,2
005108,12,111,752709,10BA,2
005111,12,111,752710,10BA,2
005112,12,111,752711,10BA,4
005113,12,111,752689,10BA,4
005114,12,111,752690,10BA,2
005115,12,111,752691,10BA,2
005116,12,111,752692,10BA,2
005117,12,111,752686,10BA,4
005169,12,111,752298,10AA,4
005169,13,111,751571,10AA,4
005170,12,111,756047,10AA,4
005170,13,111,770034,10AA,4
005171,12,111,756048,10AA,4
005171,13,111,770035,10AA,4
005172,12,111,756049,10AA,4
005172,13,111,770036,10AA,4
005174,12,111,756824,10AA,4
005179,12,111,756637,10CA,4
005180,12,111,752730,10AA,4
005202,12,111,756638,10AA,4
005203,12,111,756640,10BA,4
005204,12,111,756641,10CA,4
005205,12,111,756642,10AA,4
005206,12,111,756723,10BA,4
005207,12,111,756724,10BA,4
005208,12,111,756725,10BA,4
005209,12,111,756726,10BA,4
005210,12,111,756727,10BA,4
005211,12,111,756728,10CA,4
005212,12,111,756729,10CA,4
005213,12,111,756730,10CA,4
005214,12,111,756731,10BA,4
005221,12,111,756681,10BA,4
005222,12,111,756682,10BA,4
005223,12,111,756683,10BA,4
005244,12,111,756673,10BA,4
005246,12,111,756665,10AA,4
005247,12,111,756667,10AA,4
005248,12,111,756668,10AA,4
005249,12,111,756669,10AA,4
005250,12,111,756670,10AA,4
005252,12,111,756690,10AA,4
005253,12,111,756677,10AA,4
005254,12,111,756678,10AA,4
005255,12,111,756679,10BA,4
005262,12,111,756734,10AA,4
005263,12,111,756732,10AA,4
005263,13,111,772411,10AA,4
005264,12,111,756733,10AA,4
005264,13,111,R243GF,10AA,4
005265,12,111,756737,10AA,4
005266,12,111,756738,10AA,4
005267,12,111,756739,10AA,4
005291,12,111,752362,9997,4
005295,12,111,752370,10AA,4
005296,12,111,752371,10AA,4
005297,12,111,752372,10AA,4
005298,12,111,752383,10AA,4
005303,12,111,756148,10BA,4
005304,12,111,752377,10AA,4
005305,12,111,752378,10AA,4
005306,12,111,756149,10BA,4
005311,12,111,752381,10AA,4
005312,12,111,752384,10AA,4
005313,12,111,752385,10AA,4
005314,12,111,756156,10BA,4
005315,12,111,752386,10AA,4
005316,12,111,756157,10CA,4
005317,12,111,756158,10CA,4
005318,12,111,756159,10DC,4
005319,12,111,756160,10CA,4
005322,12,111,752368,10AA,4
005326,12,111,756371,10CA,4
005327,12,111,756375,10AA,4
005329,12,111,756372,10AA,4
005623,12,111,755209,9997,4
005719,12,111,755916,10JF,4
005720,12,111,755915,10AA,4
005721,12,111,755914,10AA,4
005722,12,111,755913,10BA,4
005723,12,111,755912,10BA,4
005724,12,111,755911,10BA,4
005725,12,111,755910,10BA,4
005726,12,111,755909,10BA,4
005727,12,111,755908,10JF,4
005728,12,111,755907,10JF,4
005729,12,111,755906,10JF,4
005730,12,111,755905,10JF,4
005731,12,111,755904,10BA,4
005732,12,111,755903,10CA,4
005733,12,111,755902,10JF,4
005734,12,111,755900,10JF,4
005735,12,111,755899,10JF,4
005736,12,111,755898,10JF,4
005737,12,111,755897,10AA,4
005738,12,111,755896,10AA,4
005739,12,111,755895,10BA,4
005740,12,111,755894,10BA,4
005741,12,111,755893,10BA,4
005742,12,111,755891,10CA,4
005743,12,111,755890,10BA,4
005744,12,111,755889,10BA,4
005745,12,111,755888,10BA,4
005746,12,111,755887,10BA,4
005747,12,111,755886,10BA,4
005748,12,111,755885,10BA,4
005749,12,111,755884,10CA,4
005750,12,111,755882,10JF,4
005751,12,111,755881,10JF,4
005752,12,111,755880,10JF,4
005753,12,111,755933,10AA,4
005754,12,111,755932,10AA,4
005755,12,111,755931,10AA,4
005756,12,111,755930,10BA,4
005757,12,111,755929,10BA,4
005758,12,111,755927,10BA,4
005759,12,111,755926,10CA,4
005760,12,111,755925,10BA,4
005761,12,111,755924,10BA,4
005762,12,111,755923,10BA,4
005763,12,111,755922,10AA,4
005764,12,111,755921,10BA,4
005765,12,111,755920,10BA,4
005766,12,111,755918,10CA,4
005767,12,111,755917,10JF,4
005794,12,111,752946,10AA,4
005794,13,111,753592,10AA,4
005795,12,111,752945,10AA,4
005795,13,111,753591,10AA,4
005796,12,111,752947,10AA,4
005796,13,111,753593,10AA,4
005797,12,111,752948,10AA,4
005797,13,111,753594,10AA,4
005798,12,111,752950,10AA,4
005798,13,111,753596,10AA,4
005799,12,111,752956,10AA,4
005799,13,111,753599,10AA,4
005800,12,111,752957,10BA,4
005800,13,111,751466,10BA,4
005801,12,111,752951,10AA,4
005801,13,111,753598,10AA,4
005802,12,111,752955,10AA,4
005802,13,111,751465,10AA,4
005803,12,111,752952,10BA,4
005803,13,111,751468,10BA,4
005804,12,111,752953,10AA,4
005804,13,111,751467,10AA,4
005805,12,111,754476,10AA,4
005805,13,111,751470,10AA,4
005806,12,111,752954,10AA,4
005806,13,111,751469,10AA,4
005809,12,111,752958,10AA,4
005809,13,111,753600,10AA,4
005810,12,111,752959,10AA,4
005810,13,111,753601,10AA,4
005811,12,111,752960,10AA,4
005811,13,111,753602,10AA,4
005812,12,111,752961,10AA,4
005812,13,111,751471,10AA,4
005813,12,111,752962,10AA,4
005813,13,111,753603,10AA,4
005815,12,111,757592,10BA,4
005815,13,111,769497,10BA,4
005817,12,111,752966,10AA,4
005817,13,111,751493,10AA,4
005818,12,111,757596,10BA,4
005818,13,111,769514,10BA,4
005819,12,111,757597,10BA,4
005819,13,111,769516,10BA,4
005820,12,111,757598,10BA,4
005820,13,111,769515,10BA,4
005821,12,111,752963,10AA,4
005821,13,111,751485,10AA,4
005822,12,111,752964,10AA,4
005822,13,111,753604,10AA,4
005823,12,111,757594,10BA,4
005823,13,111,769505,10BA,4
005824,12,111,757595,10BA,4
005824,13,111,769506,10BA,4
005826,12,111,757588,10BA,4
005826,13,111,769502,10BA,4
005827,12,111,752935,10AA,4
005827,13,111,753589,10AA,4
005829,12,111,752939,10AA,4
005829,13,111,751481,10AA,4
005830,12,111,752940,10AA,4
